rowname,e7107,bort,theoretical,actual,bortrev,e7107rev,amplified,dampened,reversed,effect,interactionFDR,baseMean,ext_gene,gene_biotype
ENSG00000111341,1.3523005062983726,-4.475608010161588,-3.1233075038632157,1.3883631366414693,TRUE,FALSE,FALSE,FALSE,FALSE,bortrev,0.0,19245.257761196954,MGP,protein_coding
ENSG00000115461,-2.8250861544678227,-5.799476958439801,-8.624563112907623,-1.692358105134961,FALSE,FALSE,FALSE,TRUE,FALSE,dampened,0.0,2026.1934585662998,IGFBP5,protein_coding
ENSG00000117115,-0.10451424060135704,-2.1292695459695272,-2.2337837865708843,0.19247201363656777,TRUE,TRUE,FALSE,FALSE,TRUE,reversed,0.0,10911.67237436616,PADI2,protein_coding
ENSG00000123358,-0.30923911990132924,-2.3802230345057462,-2.6894621544070754,0.5348692573212583,TRUE,TRUE,FALSE,FALSE,TRUE,reversed,0.0,3998.383882624176,NR4A1,protein_coding
ENSG00000134590,0.609232119011183,-2.461264259704128,-1.8520321406929448,0.8642358911968644,TRUE,FALSE,FALSE,FALSE,FALSE,bortrev,0.0,3416.2690585780206,FAM127A,protein_coding
ENSG00000135046,0.3404300153243994,1.9343006221067496,2.274730637431149,-0.0609864930599882,TRUE,TRUE,FALSE,FALSE,TRUE,reversed,0.0,58447.516268815576,ANXA1,protein_coding
ENSG00000139289,2.1666991524951467,1.6292243741207142,3.795923526615861,0.615209291998169,FALSE,FALSE,FALSE,TRUE,FALSE,dampened,0.0,7923.0480928858215,PHLDA1,protein_coding
ENSG00000143546,0.6187148218222892,-4.610603875052697,-3.991889053230408,0.7354788431703634,TRUE,FALSE,FALSE,FALSE,FALSE,bortrev,0.0,2770.6110065048865,S100A8,protein_coding
ENSG00000143556,-0.3421317972092783,-3.726203005422598,-4.068334802631876,-0.5419049750738563,FALSE,FALSE,FALSE,TRUE,FALSE,dampened,0.0,1460.461753752507,S100A7,protein_coding
ENSG00000163220,0.39279214054003336,-2.1290065635819295,-1.736214423041896,0.6935659513903634,TRUE,FALSE,FALSE,FALSE,FALSE,bortrev,0.0,16190.562102384876,S100A9,protein_coding
ENSG00000183696,-0.4489594410049584,3.7050354034716904,3.256075962466732,0.06806399044721398,FALSE,TRUE,FALSE,FALSE,FALSE,e7107rev,0.0,13618.928839766064,UPP1,protein_coding
ENSG00000187189,4.936910221041,-1.525869214116615,3.4110410069243846,5.955152318328376,TRUE,FALSE,FALSE,FALSE,FALSE,bortrev,0.0,22969.512715013334,TSPYL4,protein_coding
ENSG00000188157,-0.30482878767680033,-2.1936756863075626,-2.498504473984363,0.7173022264038985,TRUE,TRUE,FALSE,FALSE,TRUE,reversed,0.0,25591.8545641058,AGRN,protein_coding
ENSG00000205420,1.542752741183971,3.85538581155388,5.398138552737851,2.1224747672838227,FALSE,FALSE,FALSE,TRUE,FALSE,dampened,0.0,7160.6878337990265,KRT6A,protein_coding
ENSG00000213977,-0.10943799486622231,-1.9686103366575343,-2.078048331523757,0.28796238307037075,TRUE,TRUE,FALSE,FALSE,TRUE,reversed,0.0,3569.553524737958,TAX1BP3,protein_coding
ENSG00000226950,0.8786462651191681,-1.7465830509392843,-0.8679367858201162,1.317327536989147,TRUE,FALSE,FALSE,FALSE,FALSE,bortrev,0.0,4047.6418080704966,DANCR,processed_transcript
ENSG00000246705,1.8858140984080154,-3.217014607701134,-1.3312005092931187,1.5524536054566107,TRUE,FALSE,FALSE,FALSE,FALSE,bortrev,0.0,4102.048812470673,H2AFJ,protein_coding
ENSG00000267100,4.454254981226494,-2.5648160673369063,1.8894389138895882,4.11475265441549,TRUE,FALSE,FALSE,FALSE,FALSE,bortrev,0.0,22028.361535900574,ILF3-AS1,lincRNA
ENSG00000186834,0.16053947076754974,-1.5507438999925252,-1.3902044292249753,0.6618670014958647,TRUE,FALSE,FALSE,FALSE,FALSE,bortrev,1.7116117727262112e-298,4627.338176418157,HEXIM1,protein_coding
ENSG00000111348,0.1625964413062032,-2.045955113921792,-1.8833586726155889,0.5783396822444626,TRUE,FALSE,FALSE,FALSE,FALSE,bortrev,1.0400098103793573e-292,9109.520670563843,ARHGDIB,protein_coding
ENSG00000078018,-0.528125216517398,3.4923592703886848,2.964234053871287,-1.0523050294548504,TRUE,FALSE,FALSE,FALSE,FALSE,bortrev,9.903805895517258e-286,1930.5459054640567,MAP2,protein_coding
ENSG00000129103,0.5937054704805906,-1.1178573953036284,-0.5241519248230377,1.0579023493885344,TRUE,FALSE,FALSE,FALSE,FALSE,bortrev,8.473405678946249e-284,27719.645084025193,SUMF2,protein_coding
ENSG00000168268,0.5710826133549776,-1.1614483843734327,-0.5903657710184551,1.0796792374348338,TRUE,FALSE,FALSE,FALSE,FALSE,bortrev,1.4070744618685938e-277,9719.972150084624,NT5DC2,protein_coding
ENSG00000134531,-2.8086972695311765,2.408866454268971,-0.39983081526220543,-3.116153371866329,TRUE,FALSE,FALSE,FALSE,FALSE,bortrev,9.342699458845186e-277,13122.77635434047,EMP1,protein_coding
ENSG00000116039,0.008657650766418779,-3.079285457902609,-3.0706278071361903,0.2397452453761673,TRUE,FALSE,FALSE,FALSE,FALSE,bortrev,7.98621846066287e-273,2603.8289039866077,ATP6V1B1,protein_coding
ENSG00000116717,3.1786624313357352,2.114962681636607,5.293625112972342,3.5007984540815524,FALSE,FALSE,FALSE,TRUE,FALSE,dampened,2.2495925346139904e-270,38982.18241503624,GADD45A,protein_coding
ENSG00000177606,3.254467469421523,1.645923963571006,4.900391432992529,3.2350116745086015,FALSE,FALSE,FALSE,TRUE,FALSE,dampened,5.067399684652068e-259,25858.58722207832,JUN,protein_coding
ENSG00000158710,0.49575652625928773,-1.223827405086589,-0.7280708788273011,0.9705033529281551,TRUE,FALSE,FALSE,FALSE,FALSE,bortrev,8.810241970757036e-256,63073.13564290004,TAGLN2,protein_coding
ENSG00000166347,0.6095879151523733,-2.0806649539304103,-1.471077038778037,1.0180613364235471,TRUE,FALSE,FALSE,FALSE,FALSE,bortrev,1.2656902432355498e-254,2609.707169427614,CYB5A,protein_coding
ENSG00000197329,1.612144840698646,0.4770144932829709,2.089159333981617,-0.09435719822868302,TRUE,TRUE,FALSE,FALSE,TRUE,reversed,2.4139167509036114e-254,3585.828763330339,PELI1,protein_coding
ENSG00000061676,-2.042697856760407,1.1685640783127218,-0.8741337784476853,-2.813214510345709,TRUE,FALSE,FALSE,FALSE,FALSE,bortrev,4.556278153881899e-253,20036.655494036044,NCKAP1,protein_coding
ENSG00000134602,-1.1364794949324244,1.1433263465247043,0.0068468515922799345,-2.471160343924787,TRUE,FALSE,FALSE,FALSE,FALSE,bortrev,3.157298186016664e-252,6140.077674211114,STK26,protein_coding
ENSG00000065833,-0.24667130135573595,2.347337452511397,2.100666151155661,-0.390723471436547,TRUE,FALSE,FALSE,FALSE,FALSE,bortrev,4.3461465457263315e-251,7380.24058699605,ME1,protein_coding
ENSG00000196154,0.8586935057949737,-2.2206189222413624,-1.3619254164463888,1.408461633331356,TRUE,FALSE,FALSE,FALSE,FALSE,bortrev,6.5617128807150164e-248,4490.68377840877,S100A4,protein_coding
ENSG00000118523,-0.7196316064379598,-2.6067376928674624,-3.326369299305422,-0.560599573159633,FALSE,FALSE,FALSE,TRUE,FALSE,dampened,3.806276564238426e-241,19764.236277471733,CTGF,protein_coding
