10:102249155-102249009:-@10:102248731-102248615:-	SEC31B
10:102249155-102249009:-@10:102248734-102248615:-	SEC31B
10:103344676-103344635:-@10:103344477-103344359:-	DPCD
10:103344676-103344635:-@10:103344477-103344359:-	POLL
10:104179571-104180056:+@10:104180809-104180939:+	FBXL15
10:104179571-104180056:+@10:104180809-104180939:+	PSD
10:1042046-1042182:+@10:1043148-1043248:+	GTPBP4
10:1090111-1089939:-@10:1089333-1089241:-	IDI1
10:1090111-1089939:-@10:1089333-1089241:-	IDI2-AS1
10:111637625-111637548:-@10:111635357-111635286:-	XPNPEP1
10:11370889-11371060:+@10:11372419-11374591:+	CELF2
10:121336715-121336592:-@10:121336262-121336123:-	TIAL1
10:12212907-12212899:-@10:12212769-12212716:-	NUDT5
10:122648590-122648696:+@10:122649407-122649521:+	WDR11
10:122665388-122665533:+@10:122666288-122666367:+	WDR11
10:124177416-124177484:+@10:124183715-124183779:+	PLEKHA1
10:127451870-127452093:+@10:127452610-127452712:+	EDRF1
10:127697623-127697700:+@10:127697791-127698161:+	FANK1
10:127697791-127697835:+@10:127697942-127698161:+	FANK1
10:13251091-13251133:+@10:13251227-13253104:+	MCM10
10:135215033-135215094:+@10:135215653-135215749:+	MTG1
10:135215033-135215094:+@10:135215653-135215749:+	RP11-108K14.8
10:135215653-135215749:+@10:135216196-135216277:+	MTG1
10:135215653-135215749:+@10:135216196-135216277:+	RP11-108K14.8
10:13696353-13696427:+@10:13697378-13697482:+	FRMD4A
10:13696353-13696427:+@10:13697378-13697482:+	RP11-295P9.3
10:15175362-15175244:-@10:15175143-15175052:-	NMT2
10:15175362-15175244:-@10:15175143-15175052:-	RPP38
10:17277168-17277388:+@10:17277845-17278378:+	VIM
10:17277845-17277888:+@10:17278293-17278378:+	VIM
10:22607201-22607235:+@10:22607582-22607642:+	COMMD3
10:22607201-22607235:+@10:22607582-22607642:+	COMMD3-BMI1
10:22607201-22607235:+@10:22607888-22607947:+	COMMD3
10:22607201-22607235:+@10:22607888-22607947:+	COMMD3-BMI1
10:22615360-22615490:+@10:22615819-22615915:+	BMI1
10:22615360-22615490:+@10:22615819-22615915:+	COMMD3-BMI1
10:24833910-24834032:+@10:24834756-24836772:+	KIAA1217
10:24885811-24885669:-@10:24884972-24884817:-	ARHGAP21
10:28903496-28903614:+@10:28905102-28905291:+	WAC
10:31139296-31139151:-@10:31138372-31137460:-	ZNF438
10:3199723-3199627:-@10:3199256-3199122:-	PITRM1
